Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
1,164,908,Pending,2025-03-05 05:26:00
2,353,391,Cancelled,2025-03-11 10:24:00
3,626,492,Completed,2025-03-21 00:59:00
4,61,933,Cancelled,2025-03-04 09:08:00
5,345,229,Pending,2025-03-14 15:17:00
6,273,607,Cancelled,2025-03-02 02:50:00
7,735,256,Cancelled,2025-03-07 23:58:00
8,382,900,Pending,2025-03-05 07:07:00
9,278,807,Completed,2025-03-18 02:26:00
10,669,975,Completed,2025-03-06 19:57:00
11,290,118,Pending,2025-03-04 23:01:00
12,694,739,Completed,2025-03-01 21:55:00
13,951,959,Pending,2025-03-08 13:08:00
14,426,233,Cancelled,2025-03-08 16:08:00
15,684,97,Completed,2025-03-07 08:00:00
16,320,836,Cancelled,2025-03-07 06:17:00
17,465,588,Cancelled,2025-03-15 16:49:00
18,952,729,Completed,2025-03-09 02:04:00
19,798,399,Pending,2025-03-16 06:32:00
20,792,88,Completed,2025-03-07 12:15:00
21,281,493,Completed,2025-03-04 00:29:00
22,345,757,Pending,2025-03-09 03:11:00
23,674,526,Completed,2025-03-06 22:55:00
24,594,717,Pending,2025-03-15 00:51:00
25,371,10,Completed,2025-03-10 07:10:00
26,959,233,Cancelled,2025-03-21 04:34:00
27,58,487,Completed,2025-03-17 05:07:00
28,586,189,Pending,2025-03-19 04:15:00
29,812,769,Pending,2025-03-14 17:09:00
30,193,228,Pending,2025-03-07 04:05:00
31,937,546,Completed,2025-03-03 02:06:00
32,624,371,Cancelled,2025-03-17 12:57:00
33,905,386,Cancelled,2025-03-16 14:26:00
34,713,271,Pending,2025-03-18 01:17:00
35,190,93,Cancelled,2025-03-09 21:40:00
36,597,562,Pending,2025-03-16 03:41:00
37,832,920,Cancelled,2025-03-13 03:50:00
38,757,380,Cancelled,2025-03-18 05:29:00
39,58,923,Pending,2025-03-12 09:57:00
40,141,789,Pending,2025-03-10 04:14:00
41,415,336,Pending,2025-03-18 04:33:00
42,886,256,Pending,2025-03-07 12:22:00
43,611,306,Pending,2025-03-16 17:08:00
44,825,31,Pending,2025-03-09 13:02:00
45,457,569,Completed,2025-03-13 07:07:00
46,556,412,Cancelled,2025-03-12 02:30:00
47,746,48,Pending,2025-03-07 10:45:00
48,895,373,Pending,2025-03-09 23:13:00
49,190,678,Pending,2025-03-20 13:44:00
50,251,804,Pending,2025-03-19 13:18:00
51,543,255,Pending,2025-03-04 10:59:00
52,507,517,Cancelled,2025-03-15 14:58:00
53,37,449,Completed,2025-03-11 09:43:00
54,534,737,Cancelled,2025-03-06 01:44:00
55,438,601,Completed,2025-03-09 00:13:00
56,690,452,Completed,2025-03-17 14:29:00
57,225,295,Completed,2025-03-11 21:44:00
58,258,149,Completed,2025-03-13 15:12:00
59,797,371,Cancelled,2025-03-02 23:28:00
60,390,391,Pending,2025-03-16 15:03:00
61,990,550,Cancelled,2025-03-08 21:06:00
62,258,678,Pending,2025-03-17 14:07:00
63,119,279,Pending,2025-03-08 21:30:00
64,771,90,Completed,2025-03-17 13:38:00
65,424,532,Cancelled,2025-03-15 15:00:00
66,310,730,Cancelled,2025-03-11 19:22:00
67,486,817,Completed,2025-03-17 17:22:00
68,526,321,Pending,2025-03-02 04:49:00
69,321,45,Completed,2025-03-10 06:15:00
70,203,479,Completed,2025-03-19 15:41:00
71,538,897,Cancelled,2025-03-02 15:34:00
72,851,44,Completed,2025-03-04 10:49:00
73,708,222,Pending,2025-03-05 23:42:00
74,487,62,Cancelled,2025-03-02 13:20:00
75,909,161,Cancelled,2025-03-06 11:44:00
76,877,185,Completed,2025-03-13 22:38:00
77,65,324,Completed,2025-03-04 22:57:00
78,504,151,Completed,2025-03-15 13:41:00
79,188,795,Cancelled,2025-03-03 01:13:00
80,153,35,Pending,2025-03-21 01:58:00
81,964,876,Completed,2025-03-03 09:13:00
82,641,638,Pending,2025-03-09 13:21:00
83,805,695,Completed,2025-03-18 19:37:00
84,925,554,Pending,2025-03-09 02:10:00
85,197,624,Completed,2025-03-01 09:52:00
86,790,425,Cancelled,2025-03-02 09:25:00
87,829,918,Completed,2025-03-13 10:50:00
88,233,310,Completed,2025-03-03 02:47:00
89,912,632,Cancelled,2025-03-05 20:34:00
90,378,27,Completed,2025-03-04 16:53:00
91,251,373,Completed,2025-03-18 18:10:00
92,136,65,Pending,2025-03-07 11:12:00
93,600,129,Pending,2025-03-16 11:30:00
94,505,523,Cancelled,2025-03-19 05:04:00
95,673,352,Cancelled,2025-03-11 10:52:00
96,937,500,Completed,2025-03-17 07:56:00
97,381,802,Pending,2025-03-02 02:12:00
98,741,116,Cancelled,2025-03-13 13:30:00
99,101,995,Completed,2025-03-01 02:21:00
100,101,892,Pending,2025-03-19 19:11:00
101,16,654,Cancelled,2025-03-07 02:19:00
102,110,772,Completed,2025-03-16 06:03:00
103,463,423,Completed,2025-03-07 12:06:00
104,882,52,Completed,2025-03-05 00:36:00
105,89,619,Completed,2025-03-15 23:07:00
106,674,589,Cancelled,2025-03-06 03:27:00
107,374,467,Completed,2025-03-21 00:40:00
108,786,909,Pending,2025-03-08 09:17:00
109,696,923,Pending,2025-03-15 16:28:00
110,469,196,Pending,2025-03-01 00:09:00
111,214,723,Pending,2025-03-14 11:40:00
112,984,970,Pending,2025-03-04 22:00:00
113,913,855,Pending,2025-03-01 23:11:00
114,870,840,Completed,2025-03-06 10:36:00
115,663,957,Pending,2025-03-05 00:19:00
116,162,908,Pending,2025-03-16 17:02:00
117,864,384,Pending,2025-03-10 01:30:00
118,108,927,Cancelled,2025-03-07 04:56:00
119,56,75,Cancelled,2025-03-18 15:38:00
120,233,101,Pending,2025-03-10 23:33:00
121,460,560,Completed,2025-03-14 11:44:00
122,160,292,Cancelled,2025-03-15 00:40:00
123,715,529,Completed,2025-03-20 13:50:00
124,252,303,Cancelled,2025-03-20 06:55:00
125,765,329,Pending,2025-03-18 21:40:00
126,202,499,Completed,2025-03-11 16:19:00
127,463,865,Completed,2025-03-12 16:00:00
128,589,100,Cancelled,2025-03-10 19:29:00
129,318,555,Pending,2025-03-03 15:50:00
130,660,608,Cancelled,2025-03-13 08:51:00
131,640,184,Cancelled,2025-03-07 05:12:00
132,640,835,Cancelled,2025-03-06 02:44:00
133,109,866,Pending,2025-03-10 13:34:00
134,650,404,Pending,2025-03-18 00:37:00
135,256,12,Cancelled,2025-03-06 19:49:00
136,493,3,Pending,2025-03-16 22:58:00
137,46,548,Completed,2025-03-06 03:22:00
138,648,392,Cancelled,2025-03-02 19:39:00
139,668,831,Completed,2025-03-02 01:08:00
140,548,168,Completed,2025-03-18 01:19:00
141,149,985,Pending,2025-03-03 20:25:00
142,782,128,Cancelled,2025-03-16 10:00:00
143,9,936,Completed,2025-03-05 11:36:00
144,457,390,Cancelled,2025-03-12 14:06:00
145,114,695,Pending,2025-03-13 05:28:00
146,769,420,Completed,2025-03-08 01:42:00
147,795,462,Completed,2025-03-02 13:48:00
148,174,612,Completed,2025-03-10 04:52:00
149,909,763,Cancelled,2025-03-17 15:13:00
150,991,107,Cancelled,2025-03-03 13:37:00
151,359,419,Completed,2025-03-12 05:30:00
152,797,988,Pending,2025-03-06 03:51:00
